topic_slug,question,A,B,C,D,correct_answer,explanation_vi,difficulty
chu-de-5-ung-dung-tin-hoc-bai-11-dinh-dang-van-ban,Mục đích chính của việc định dạng đoạn văn bản là gì?,Thay đổi cách trình bày của một đoạn văn bản cụ thể.,Thiết lập bố cục và kích thước cho toàn bộ trang tài liệu.,Lựa chọn khổ giấy cho tài liệu.,Đặt lề trang cho toàn bộ văn bản.,A,"Định dạng đoạn văn bản giúp thay đổi cách trình bày của riêng một đoạn văn bản, ví dụ như căn lề, khoảng cách dòng.",1
chu-de-5-ung-dung-tin-hoc-bai-11-dinh-dang-van-ban,"Trong phần mềm soạn thảo văn bản, các lệnh để định dạng đoạn (như căn lề, khoảng cách dòng) thường nằm ở đâu?","Thẻ Page Layout, nhóm Page Setup.","Thẻ Insert, nhóm Illustrations.","Thẻ Home, nhóm Paragraph.","Thẻ File, nhóm Print.",C,"Các lệnh định dạng đoạn văn bản (căn lề, tăng giảm lề, khoảng cách dòng) nằm trong thẻ Home, nhóm Paragraph.",1
chu-de-5-ung-dung-tin-hoc-bai-11-dinh-dang-van-ban,"Trong phần mềm soạn thảo văn bản, một đoạn văn bản mới được phân cách bởi dấu ngắt đoạn khi người dùng nhấn phím nào?",Shift.,Ctrl.,Tab.,Enter.,D,Một đoạn văn bản được phân cách bởi dấu ngắt đoạn khi nhấn phím Enter.,1
chu-de-5-ung-dung-tin-hoc-bai-11-dinh-dang-van-ban,Định dạng trang văn bản có tác dụng gì?,Giúp văn bản đẹp và có bố cục hài hoà.,Giúp thay đổi phông chữ và cỡ chữ của văn bản.,Giúp chèn hình ảnh và bảng biểu vào văn bản.,Giúp tìm kiếm và thay thế từ trong văn bản.,A,Định dạng trang văn bản giúp văn bản có bố cục hài hòa và đẹp hơn.,1
chu-de-5-ung-dung-tin-hoc-bai-11-dinh-dang-van-ban,Yêu cầu nào sau đây KHÔNG thuộc các yêu cầu cơ bản khi trình bày định dạng trang văn bản?,Chọn hướng trang (đứng/ngang).,Thay đổi màu sắc của chữ.,"Đặt lề trang (trái, phải, trên, dưới).",Lựa chọn khổ giấy (ví dụ A4).,B,"Thay đổi màu sắc của chữ là định dạng ký tự, không phải định dạng trang văn bản.",2
chu-de-5-ung-dung-tin-hoc-bai-11-dinh-dang-van-ban,"Để thiết lập hướng trang, lề trang và khổ giấy, người dùng sẽ tìm các lệnh này ở đâu trong phần mềm soạn thảo văn bản?","Thẻ Home, nhóm Font.","Thẻ Insert, nhóm Pages.","Thẻ Page Layout, nhóm Page Setup.","Thẻ View, nhóm Show.",C,"Các lệnh định dạng trang văn bản (hướng trang, lề trang, khổ giấy) nằm trong thẻ Page Layout, nhóm Page Setup.",1
chu-de-5-ung-dung-tin-hoc-bai-11-dinh-dang-van-ban,"Sau khi hoàn thành việc soạn thảo văn bản, để in văn bản ra giấy, người dùng cần vào thẻ nào và chọn lệnh gì?","Thẻ Home, chọn lệnh Copy.","Thẻ Insert, chọn lệnh Picture.","Thẻ View, chọn lệnh Zoom.","Thẻ File, chọn lệnh Print.",D,"Để in văn bản ra giấy, người dùng vào thẻ File và chọn lệnh Print.",1
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,Ưu điểm chính của việc trình bày thông tin dạng bảng là gì?,"Giúp thông tin gọn gàng, dễ nhìn.",Chỉ chứa được văn bản.,Khó tìm kiếm và so sánh dữ liệu.,Chỉ dùng được cho bảng nhỏ.,A,"Bảng giúp trình bày thông tin gọn gàng, dễ nhìn, dễ tìm kiếm và so sánh.",1
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,Thông tin dạng bảng có ưu điểm gì trong việc xử lý dữ liệu?,Giúp dữ liệu khó chỉnh sửa và cập nhật.,Làm cho dữ liệu bị giới hạn về số lượng.,Dễ dàng tìm kiếm và so sánh dữ liệu.,Chỉ thích hợp cho dữ liệu phức tạp.,C,"Dữ liệu trong bảng dễ dàng tìm kiếm và so sánh, thích hợp cho thống kê, điều tra, khảo sát.",2
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,"Để tạo một bảng mới trong phần mềm soạn thảo, em cần vào thẻ nào trước tiên?",Thẻ Home.,Thẻ Layout.,Thẻ Design.,Thẻ Insert.,D,"Để tạo bảng mới, em chọn thẻ Insert, sau đó chọn Table.",1
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,"Khi tạo bảng mới trong phần mềm soạn thảo, cách nào cho phép em chọn số cột và số hàng mong muốn?",Chỉ có thể kéo chuột để chọn.,Chỉ có thể nhập số cột và số hàng cụ thể.,Phần mềm tự động tạo kích thước bảng cố định.,"Kéo chuột hoặc dùng lệnh Insert Table để nhập số cột, hàng.",D,"Có thể kéo chuột để chọn số cột và số hàng mong muốn, hoặc dùng lệnh Insert Table và nhập số cột, hàng.",1
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,"Theo nội dung bài học, một ô trong bảng có thể chứa những loại dữ liệu nào?",Chỉ có thể chứa văn bản.,Chỉ có thể chứa hình ảnh.,Có thể chứa văn bản và hình ảnh.,Chỉ có thể chứa số liệu.,C,"Bảng có thể chứa nhiều loại dữ liệu như văn bản, hình ảnh trong các ô.",1
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,"Khi con trỏ chuột nằm trong một bảng, thẻ công cụ nào sẽ xuất hiện để giúp em chỉnh sửa và định dạng bảng?",Format Tools.,View Tools.,Home Tools.,Table Tools.,D,"Khi con trỏ trong bảng, thẻ Table Tools sẽ xuất hiện để chỉnh sửa và định dạng bảng.",1
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,Thẻ Layout trong Table Tools được dùng để thực hiện thao tác nào sau đây?,"Xóa, chèn hàng/cột hoặc gộp ô.",Thay đổi màu sắc và kiểu đường viền của bảng.,Chèn hình ảnh và biểu đồ vào bảng.,Kiểm tra lỗi chính tả trong dữ liệu bảng.,A,"Trong thẻ Layout, có các lệnh để xóa, chèn hàng/cột hoặc gộp ô.",2
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,"Lệnh ""Merge Cells"" trong phần mềm soạn thảo có tác dụng gì?",Chia một ô thành nhiều ô nhỏ hơn.,Sao chép nội dung từ một ô sang ô khác.,Gộp nhiều ô liền kề thành một ô lớn duy nhất.,Xóa toàn bộ nội dung trong các ô đã chọn.,C,Lệnh Merge Cells dùng để kết hợp nhiều ô liền kề thành một ô lớn duy nhất trong bảng.,1
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,Em có thể thay đổi độ rộng cột hoặc độ cao hàng trong bảng bằng cách nào?,Nhấp đúp chuột vào ô.,Kéo đường biên của cột hoặc hàng.,Nhấn phím Enter.,Dùng thẻ Insert.,B,Có thể điều chỉnh độ rộng cột và độ cao hàng bằng cách kéo đường biên.,1
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,"Trong thực tế, loại thông tin nào thường được trình bày hiệu quả nhất dưới dạng bảng?",Một bức thư cá nhân.,Thời khóa biểu học tập hoặc bảng điểm.,Một câu chuyện kể dài.,Một bài thơ.,B,"Bảng rất hữu ích để trình bày danh sách, thời khóa biểu, kết quả khảo sát.",2
chu-de-5-ung-dung-tin-hoc-bai-12-trinh-bay-thong-tin-o-dang-bang,Lợi ích tổng thể của việc sử dụng bảng để trình bày thông tin là gì?,Giúp thông tin khoa học và đẹp mắt hơn.,Làm giảm khả năng tìm kiếm dữ liệu.,Giúp thông tin trở nên phức tạp hơn.,Chỉ phù hợp với người có kinh nghiệm.,A,"Việc sử dụng bảng giúp thông tin khoa học và đẹp mắt hơn, dễ nhìn và dễ tìm kiếm.",2
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,Tác dụng chính của công cụ Tìm kiếm và Thay thế trong soạn thảo văn bản là gì?,Giúp tìm và thay đổi từ hoặc cụm từ nhanh chóng.,Giúp tạo ra các bảng biểu phức tạp.,Giúp chèn hình ảnh và video vào văn bản.,Giúp kiểm tra ngữ pháp và chính tả tự động.,A,"Công cụ Tìm kiếm và Thay thế được thiết kế để tìm và đổi từ, cụm từ một cách hiệu quả, tiết kiệm thời gian.",1
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,Lợi ích nào sau đây KHÔNG phải là của công cụ Tìm kiếm và Thay thế?,Tiết kiệm thời gian khi chỉnh sửa văn bản.,Chắc chắn rằng văn bản sẽ không có bất kỳ lỗi chính tả nào.,"Đảm bảo độ chính xác cao, không bỏ sót từ cần thay đổi.","Rất hữu ích khi làm việc với văn bản dài, nhiều trang.",B,"Công cụ này giúp tìm và thay thế chính xác các từ đã định, nhưng không tự động đảm bảo văn bản không có lỗi chính tả (chỉ sửa những lỗi mà người dùng chỉ định).",2
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,Công cụ Tìm kiếm và Thay thế đặc biệt hữu ích trong trường hợp nào?,Khi bạn cần vẽ sơ đồ trong văn bản.,"Khi bạn chỉ làm việc với một văn bản rất ngắn, chỉ vài dòng.","Khi bạn cần xử lý một văn bản dài, nhiều trang hoặc cần thay đổi hàng loạt.",Khi bạn muốn thay đổi màu sắc của chữ trong văn bản.,C,"Công cụ này được nhấn mạnh là rất hữu ích với văn bản dài, nhiều trang và giúp tránh bỏ sót từ cần thay đổi.",1
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,"Để bắt đầu tìm kiếm một từ hoặc cụm từ trong văn bản, bạn cần thực hiện thao tác nào đầu tiên trong thẻ Home?",Chọn Save.,Chọn Copy.,Chọn Paste.,Chọn Find.,D,"Theo nội dung bài học, để tìm kiếm văn bản, bạn vào thẻ Home và chọn Find trong nhóm Editing.",1
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,"Sau khi chọn công cụ Find trong thẻ Home, bước tiếp theo để tìm kiếm một từ là gì?",Gõ từ hoặc cụm từ cần tìm vào ô và nhấn Enter.,"Chọn nút ""Replace All"" để tìm tất cả các từ.",Nhấn phím cách liên tục để di chuyển qua văn bản.,Đóng cửa sổ soạn thảo văn bản.,A,"Sau khi chọn Find, bạn gõ từ hoặc cụm từ cần tìm vào ô và nhấn Enter để xem kết quả.",1
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,"Để sử dụng công cụ Thay thế (Replace) trong soạn thảo văn bản, bạn cần chọn tùy chọn nào trong thẻ Home?",Chọn Find.,Chọn Replace.,Chọn Font.,Chọn Paragraph.,B,"Để thay thế văn bản, bạn vào thẻ Home và chọn Replace trong nhóm Editing.",1
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,"Khi sử dụng công cụ Thay thế, bạn sẽ gõ từ hoặc cụm từ muốn thay đổi (từ cũ) vào ô nào?","Ô ""Replace with"".","Ô ""Go To"".","Ô ""Find what"".","Ô ""Search document"".",C,"Theo hướng dẫn, bạn gõ từ cần thay thế vào ô ""Find what"" và từ mới vào ô ""Replace with"".",1
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,"Khi thực hiện thao tác thay thế văn bản, bạn có thể chọn cách thay thế nào?",Chỉ có thể thay thế một từ duy nhất mỗi lần.,Chỉ có thể thay thế các từ ở đầu mỗi đoạn văn.,Chỉ có thể thay thế các từ đã được in đậm.,Thay thế từng từ một hoặc thay thế tất cả các từ cùng lúc.,D,Bạn có thể chọn Replace để thay thế từng từ hoặc Replace All để thay thế tất cả các từ cùng lúc.,2
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,"Bạn muốn đổi tên nhân vật ""Lan"" thành ""Mai"" trong toàn bộ một câu chuyện dài. Công cụ nào sau đây phù hợp nhất để thực hiện việc này một cách nhanh chóng và chính xác?",Công cụ Thay thế (Replace).,Công cụ Chèn hình ảnh.,Công cụ Kiểm tra chính tả.,Công cụ Định dạng chữ in đậm.,A,Việc đổi tên nhân vật hàng loạt là một ví dụ thực tế về việc sử dụng công cụ Thay thế để cập nhật thông tin cũ thành mới trong tài liệu.,3
chu-de-5-ung-dung-tin-hoc-bai-13-thuc-hanh-tim-kiem-va-thay-the,Công cụ Tìm kiếm và Thay thế thường có sẵn trong loại phần mềm nào?,Phần mềm chỉnh sửa ảnh.,Phần mềm soạn thảo văn bản.,Phần mềm chơi game.,Phần mềm nghe nhạc.,B,"Công cụ này là một tính năng cơ bản của các phần mềm soạn thảo văn bản như Microsoft Word, giúp tạo và chỉnh sửa tài liệu.",1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,"Mục tiêu chính của bài học ""Hoàn thiện sổ lưu niệm"" là gì?",Chỉ cần chèn nội dung từ các tệp khác.,Tổng hợp và sắp xếp nội dung thành một sản phẩm hoàn chỉnh.,Học cách sử dụng chức năng tìm kiếm và thay thế.,Tạo ra một trang bìa đẹp mắt cho cuốn sổ.,B,"Mục tiêu của bài là biết cách tổng hợp các nội dung đã có và sắp xếp chúng thành một sản phẩm hoàn chỉnh, cụ thể là sổ lưu niệm.",1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,"Để hoàn thiện cuốn sổ lưu niệm của lớp, học sinh thường làm việc như thế nào?",Mỗi học sinh tự làm một cuốn sổ riêng.,Thầy cô giáo sẽ làm giúp học sinh.,Học sinh làm việc nhóm để cùng nhau hoàn thiện.,Chỉ cần một học sinh giỏi nhất lớp thực hiện.,C,"Bài học khuyến khích học sinh làm việc nhóm để hoàn thiện cuốn sổ lưu niệm, thể hiện tinh thần hợp tác.",1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,Bước đầu tiên để tạo sổ lưu niệm theo nội dung bài học là gì?,Tạo trang bìa cho cuốn sổ.,Bổ sung hình ảnh và bảng biểu.,Tập hợp các nội dung đã có vào một tệp văn bản mới.,Kiểm tra lại toàn bộ nội dung và trình bày.,C,Bước đầu tiên được nêu trong bài học là 'Tập hợp nội dung' bằng cách tạo tệp văn bản mới và chèn các nội dung đã có.,1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,"Để chèn nội dung từ một tệp văn bản khác vào sổ lưu niệm, em sử dụng chức năng nào?",Cover Page,Insert Picture,Text from File,Find and Replace,C,Chức năng 'Text from File' được dùng để chèn nội dung từ một tệp văn bản khác vào tài liệu hiện tại.,1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,Chức năng 'Text from File' được tìm thấy trong thẻ nào của phần mềm soạn thảo văn bản?,Home,Insert,Layout,View,B,"Theo nội dung bài học, chức năng 'Text from File' được sử dụng thông qua 'Insert > Object > Text from File'.",2
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,"Sau khi tập hợp nội dung, bước tiếp theo trong quá trình hoàn thiện sổ lưu niệm là gì?",Tạo trang bìa ngay lập tức.,Kiểm tra lỗi chính tả và ngữ pháp.,Bổ sung và định dạng nội dung.,Chia sẻ sản phẩm với cả lớp.,C,"Sau bước 'Tập hợp nội dung', bài học hướng dẫn đến bước 'Bổ sung và định dạng' để làm cho sổ lưu niệm hoàn chỉnh và đẹp mắt hơn.",1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,"Khi bổ sung nội dung cho sổ lưu niệm, em cần thu thập thêm thông tin về những đối tượng nào?",Chỉ cần thông tin về các bạn trong lớp.,Thông tin về thầy cô giáo và các hoạt động của lớp.,Chỉ cần các bài viết cảm nghĩ của học sinh.,Thông tin về các môn học và thời khóa biểu.,B,"Bài học nhấn mạnh việc thu thập thông tin, hình ảnh về thầy cô, hoạt động lớp để bổ sung nội dung.",1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,Tại sao cần thực hiện các thao tác định dạng cho văn bản trong sổ lưu niệm?,Để tăng dung lượng tệp tin của sổ lưu niệm.,"Để văn bản đẹp mắt và hợp lí, dễ đọc hơn.",Để các bạn trong lớp không thể chỉnh sửa được.,Để giảm thời gian in ấn sổ lưu niệm.,B,"Các thao tác định dạng như màu sắc, cỡ chữ, căn chỉnh lề giúp văn bản đẹp mắt và hợp lí hơn.",2
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,Hoạt động định dạng nào được nhắc đến trong bài học khi hoàn thiện sổ lưu niệm?,Thay đổi phông chữ mặc định của hệ thống.,"Căn chỉnh lề, hướng trang và thay đổi cỡ chữ.",Chỉ thay đổi màu sắc của chữ viết.,Tạo các liên kết siêu văn bản trong sổ.,B,"Bài học đề cập đến định dạng chữ, căn chỉnh lề, hướng trang để làm đẹp sổ lưu niệm.",2
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,"Ngoài văn bản, em có thể bổ sung những loại nội dung nào khác vào sổ lưu niệm để phong phú hơn?",Chỉ có thể chèn các biểu đồ thống kê.,Hình ảnh và bảng biểu.,Các đoạn mã lập trình.,Các tệp âm thanh và video.,B,"Bài học hướng dẫn bổ sung hình ảnh, chèn bảng nếu cần thiết để làm sổ lưu niệm sinh động hơn.",1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,"Khi muốn chỉnh sửa nhanh các lỗi chính tả hoặc thay đổi một từ/cụm từ lặp lại trong toàn bộ sổ lưu niệm, em nên sử dụng chức năng nào?",Định dạng văn bản.,Chèn hình ảnh.,Tìm kiếm và Thay thế.,Tạo trang bìa.,C,Chức năng 'Tìm kiếm và Thay thế' rất hữu ích để sửa lỗi hoặc thay đổi văn bản một cách nhanh chóng trên toàn tài liệu.,2
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,Bước nào sau đây là cần thiết để cuốn sổ lưu niệm trở nên hoàn chỉnh và chuyên nghiệp hơn?,Chỉ cần in ấn sổ ra giấy.,Tạo trang bìa cho cuốn sổ.,Sắp xếp lại thứ tự các bài viết.,Thay đổi màu nền của toàn bộ tài liệu.,B,"Tạo trang bìa là một bước quan trọng để hoàn thiện sổ lưu niệm, giúp nó có vẻ ngoài chuyên nghiệp và hấp dẫn hơn.",1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,Chức năng nào giúp em tạo trang bìa có sẵn trong phần mềm soạn thảo văn bản?,Text from File,Cover Page,Header & Footer,Page Break,B,Chức năng 'Cover Page' trong thẻ Insert cho phép chọn các mẫu trang bìa có sẵn.,1
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,"Để chèn một trang bìa có sẵn, em sẽ vào thẻ nào và chọn chức năng nào?","Thẻ Home, chọn Styles.","Thẻ Insert, chọn Cover Page.","Thẻ Design, chọn Themes.","Thẻ View, chọn Page Layout.",B,"Bài học hướng dẫn: 'Vào thẻ Insert, chọn Cover Page trong nhóm Pages' để tạo trang bìa.",2
chu-de-5-ung-dung-tin-hoc-bai-14-thuc-hanh-tong-hop-hoan-thien-so-luu-niem,Mục đích của việc chia sẻ sản phẩm sổ lưu niệm với cả lớp là gì?,Để khoe sản phẩm đã hoàn thành.,Để nhận góp ý và hoàn thiện sản phẩm hơn nữa.,Để các bạn khác sao chép nội dung.,Để thầy cô chấm điểm ngay lập tức.,B,"Việc chia sẻ sản phẩm với cả lớp giúp nhận được góp ý, thảo luận để sản phẩm được đầy đủ và trình bày đẹp mắt hơn.",2
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,Thuật toán là gì?,Tập hợp các công thức toán học phức tạp.,Một chương trình máy tính hoàn chỉnh.,Một bản kế hoạch công việc không cần theo thứ tự.,"Dãy chỉ dẫn rõ ràng, có trình tự để giải quyết vấn đề.",D,"Theo bài học, thuật toán là dãy chỉ dẫn rõ ràng, có trình tự để giải quyết vấn đề.",1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,Mục đích chính của thuật toán là gì?,Để làm cho các công việc trở nên phức tạp hơn.,Để tạo ra các trò chơi điện tử.,Để ghi nhớ thông tin một cách ngẫu nhiên.,Giúp giải quyết một vấn đề hoặc nhiệm vụ cụ thể.,D,Thuật toán được tạo ra để giúp giải quyết một vấn đề hoặc nhiệm vụ cụ thể.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,"Trong thuật toán, ""Đầu vào (Input)"" có nghĩa là gì?",Dữ liệu hoặc thông tin ban đầu cần thiết cho thuật toán.,Kết quả cuối cùng nhận được sau khi thuật toán hoàn thành.,Các bước xử lí chính của thuật toán.,Tên của thuật toán.,A,Đầu vào (Input) là dữ liệu hoặc thông tin ban đầu cần thiết cho thuật toán.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,"""Đầu ra (Output)"" của một thuật toán là gì?",Các bước xử lí dữ liệu trong thuật toán.,Thông tin ban đầu mà thuật toán cần.,Tên của người tạo ra thuật toán.,Kết quả nhận được sau khi thuật toán hoàn thành.,D,Đầu ra (Output) là kết quả nhận được sau khi thuật toán hoàn thành.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,Điều gì là quan trọng nhất khi thực hiện các bước trong một thuật toán?,"Chỉ cần làm đủ các bước, thứ tự không quan trọng.",Có thể bỏ qua một vài bước nếu thấy không cần thiết.,"Chỉ cần kết quả cuối cùng đúng là được, không cần quan tâm đến cách làm.",Thứ tự các bước phải được tuân thủ nghiêm ngặt.,D,Thứ tự các bước trong thuật toán rất quan trọng để có kết quả đúng.,2
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,"Để một thuật toán hoạt động hiệu quả, các chỉ dẫn của nó cần phải như thế nào?",Ngắn gọn nhưng khó hiểu.,Cụ thể và rõ ràng.,Có thể thay đổi tùy ý.,Chỉ cần người tạo ra thuật toán hiểu.,B,"Thuật toán là dãy chỉ dẫn rõ ràng, có trình tự, nên các chỉ dẫn phải cụ thể và rõ ràng.",2
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,Một trong hai cách chính để mô tả thuật toán là gì?,Vẽ một bức tranh trừu tượng.,Kể chuyện.,Liệt kê các bước bằng ngôn ngữ tự nhiên.,Viết một bài văn dài.,C,"Có hai cách chính để mô tả thuật toán, một trong số đó là liệt kê các bước bằng ngôn ngữ tự nhiên.",1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,"Cách thứ hai để mô tả thuật toán, ngoài việc liệt kê, là gì?",Dùng các công thức toán học phức tạp.,Kể một câu chuyện cổ tích.,Sử dụng sơ đồ khối với các hình và mũi tên.,Viết một đoạn mã lập trình.,C,Cách thứ hai để mô tả thuật toán là sử dụng sơ đồ khối với các hình và mũi tên.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,Sơ đồ khối giúp mô tả thuật toán bằng cách nào?,Chỉ dùng văn bản để mô tả.,Dùng hình vẽ và mũi tên để biểu diễn các bước và trình tự.,Liệt kê các bước bằng văn bản.,Chỉ dùng hình ảnh mà không có mũi tên.,B,Sơ đồ khối giúp hình dung trình tự thực hiện bằng hình vẽ và mũi tên.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,"Trong sơ đồ khối, hình bầu dục dùng để biểu thị điều gì?",Đầu vào hoặc Đầu ra.,Bước xử lí.,Bắt đầu hoặc Kết thúc.,Quyết định.,C,Hình bầu dục trong sơ đồ khối biểu thị Bắt đầu hoặc Kết thúc.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,Hình bình hành trong sơ đồ khối có ý nghĩa gì?,Bắt đầu hoặc Kết thúc.,Đầu vào hoặc Đầu ra.,Bước xử lí.,Chỉ dẫn hướng đi.,B,Hình bình hành trong sơ đồ khối biểu thị Đầu vào hoặc Đầu ra.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,"Trong sơ đồ khối, hình chữ nhật dùng để biểu thị điều gì?",Bắt đầu hoặc Kết thúc.,Đầu vào hoặc Đầu ra.,Một câu hỏi cần trả lời.,Bước xử lí (thực hiện hành động).,D,Hình chữ nhật trong sơ đồ khối biểu thị Bước xử lí (thực hiện hành động).,1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,Mũi tên trong sơ đồ khối có chức năng gì?,Biểu thị một quyết định.,Chỉ hướng thực hiện tiếp theo.,Đánh dấu các bước quan trọng.,Nối các hình ảnh lại với nhau mà không có ý nghĩa trình tự.,B,Mũi tên trong sơ đồ khối chỉ hướng thực hiện tiếp theo.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,Hoạt động nào sau đây có thể được coi là một thuật toán trong cuộc sống hàng ngày?,Một bức tranh phong cảnh.,Một bài hát.,Công thức nấu một món ăn.,Một giấc mơ.,C,"Công thức nấu một món ăn là một ví dụ về thuật toán vì nó có các bước rõ ràng, có trình tự để đạt được kết quả cụ thể.",3
chu-de-6-giai-quyet-van-de-voi-s-bai-15-thuat-toan,Phát biểu nào sau đây là đúng về thuật toán?,Thuật toán chỉ dùng trong máy tính và lập trình.,Thuật toán chỉ áp dụng cho các vấn đề toán học phức tạp.,Thuật toán có mặt khắp nơi trong cuộc sống hàng ngày của chúng ta.,Thuật toán là một khái niệm mới chỉ xuất hiện gần đây.,C,"Thuật toán có mặt khắp nơi trong cuộc sống hàng ngày của chúng ta, không chỉ giới hạn trong máy tính.",2
chu-de-6-giai-quyet-van-de-voi-s-bai-16-cac-cau-truc-dieu-khien,Thuật toán là gì?,Một tập hợp các quy tắc để chơi một trò chơi.,"Một dãy các chỉ dẫn rõ ràng, có trình tự để giải quyết một vấn đề.",Một danh sách các công việc cần làm trong ngày.,Một chương trình máy tính phức tạp.,B,"Thuật toán là một dãy các chỉ dẫn rõ ràng, có trình tự để giải quyết một vấn đề, như đã nêu trong bài học.",1
chu-de-6-giai-quyet-van-de-voi-s-bai-16-cac-cau-truc-dieu-khien,Đặc điểm của cấu trúc tuần tự là gì?,"Các lệnh được thực hiện ngẫu nhiên, không theo thứ tự.","Các lệnh được thực hiện lần lượt, từng bước một theo thứ tự đã định.",Chỉ thực hiện một lệnh nếu điều kiện đúng.,Thực hiện một công việc nhiều lần cho đến khi điều kiện dừng được thỏa mãn.,B,"Cấu trúc tuần tự mô tả các lệnh được thực hiện lần lượt, theo trình tự từ đầu đến cuối, mỗi bước hoàn thành trước khi bước tiếp theo bắt đầu.",1
chu-de-6-giai-quyet-van-de-voi-s-bai-16-cac-cau-truc-dieu-khien,Cấu trúc rẽ nhánh được sử dụng để làm gì?,Thực hiện các lệnh theo một chuỗi cố định mà không thay đổi.,Lặp lại một hành động nhiều lần cho đến khi đạt được mục tiêu.,Thực hiện các hành động khác nhau tùy thuộc vào điều kiện đúng hay sai.,Chia nhỏ một vấn đề lớn thành nhiều vấn đề nhỏ hơn.,C,Cấu trúc rẽ nhánh cho phép thực hiện các hành động khác nhau tùy thuộc vào kết quả kiểm tra điều kiện.,1
